school_id,major_id,year,province,subject_type,min_score,min_rank,plan_count
S001,M00106,2023,广东,历史,592,9715,23
S001,M00106,2024,广东,历史,593,9406,21
S001,M00106,2025,广东,历史,592,10131,13
S001,M00106,2023,江苏,物理,590,11741,4
S001,M00106,2024,江苏,物理,589,12069,26
S001,M00106,2025,江苏,物理,590,11565,24
S001,M00106,2023,江苏,历史,589,12095,8
S001,M00106,2024,江苏,历史,590,11837,17
S001,M00106,2025,江苏,历史,590,11236,26
S001,M00106,2023,四川,物理,588,12914,7
S001,M00106,2024,四川,物理,589,12408,8
S001,M00106,2025,四川,物理,588,13558,15
S001,M00106,2023,四川,历史,588,13018,28
S001,M00106,2024,四川,历史,589,12567,7
S001,M00106,2025,四川,历史,589,12419,7
S001,M00106,2023,湖南,物理,589,12464,12
S001,M00106,2024,湖南,物理,589,12245,16
S001,M00106,2025,湖南,物理,590,11879,18
S001,M00106,2023,湖南,历史,590,11889,7
S001,M00106,2024,湖南,历史,589,12852,29
S001,M00106,2025,湖南,历史,589,12752,16
S001,M00106,2023,河南,物理,594,8535,10
S001,M00106,2024,河南,物理,593,9637,12
S001,M00106,2025,河南,物理,594,8520,12
S001,M00106,2023,河南,历史,594,8565,24
S001,M00106,2024,河南,历史,593,9300,28
S001,M00106,2025,河南,历史,593,9093,27
S001,M00107,2023,北京,物理,605,3844,13
S001,M00107,2024,北京,物理,605,4064,5
S001,M00107,2025,北京,物理,606,3567,7
S001,M00107,2023,北京,历史,605,3857,4
S001,M00107,2024,北京,历史,606,3649,12
S001,M00107,2025,北京,历史,605,3917,7
S001,M00107,2023,广东,物理,597,7190,2
S001,M00107,2024,广东,物理,597,7179,3
S001,M00107,2025,广东,物理,597,6870,20
S001,M00107,2023,广东,历史,597,7121,2
S001,M00107,2024,广东,历史,596,7563,30
S001,M00107,2025,广东,历史,597,6783,3
S001,M00107,2023,江苏,物理,601,5333,15
S001,M00107,2024,江苏,物理,603,4633,15
S001,M00107,2025,江苏,物理,602,4926,17
S001,M00107,2023,江苏,历史,602,4779,30
S001,M00107,2024,江苏,历史,603,4628,14
S001,M00107,2025,江苏,历史,602,5029,6
S001,M00107,2023,四川,物理,599,6242,11
S001,M00107,2024,四川,物理,599,5936,14
S001,M00107,2025,四川,物理,599,5929,6
S001,M00107,2023,四川,历史,598,6689,25
S001,M00107,2024,四川,历史,599,5994,26
S001,M00107,2025,四川,历史,599,6204,26
S001,M00107,2023,湖南,物理,598,6520,29
S001,M00107,2024,湖南,物理,597,6987,29
S001,M00107,2025,湖南,物理,598,6520,6
S001,M00107,2023,湖南,历史,598,6578,23
S001,M00107,2024,湖南,历史,597,6734,26
S001,M00107,2025,湖南,历史,598,6591,8
S001,M00107,2023,河南,物理,596,7260,8
S001,M00107,2024,河南,物理,597,6769,28
S001,M00107,2025,河南,物理,598,6425,19
S001,M00107,2023,河南,历史,597,7080,23
S001,M00107,2024,河南,历史,599,6251,20
S001,M00107,2025,河南,历史,596,7234,2
S001,M00108,2023,北京,物理,598,6642,17
S001,M00108,2024,北京,物理,596,7262,28
S001,M00108,2025,北京,物理,597,6763,12
S001,M00108,2023,广东,物理,590,11751,19
S001,M00108,2024,广东,物理,590,11216,11
S001,M00108,2025,广东,物理,589,12612,4
S001,M00108,2023,江苏,物理,591,10619,26
S001,M00108,2024,江苏,物理,592,9741,21
S001,M00108,2025,江苏,物理,593,9644,25
S001,M00108,2023,四川,物理,590,11593,10
S001,M00108,2024,四川,物理,590,11673,9
S001,M00108,2025,四川,物理,590,11899,6
S001,M00108,2023,湖南,物理,593,9395,11
S001,M00108,2024,湖南,物理,592,9955,14
S001,M00108,2025,湖南,物理,593,9169,18
S001,M00108,2023,河南,物理,589,12072,8
S001,M00108,2024,河南,物理,589,12394,12
S001,M00108,2025,河南,物理,589,12097,24
S002,M00201,2023,北京,物理,597,6938,6
S002,M00201,2024,北京,物理,598,6423,29
S002,M00201,2025,北京,物理,598,6363,2
S002,M00201,2023,广东,物理,589,12382,3
S002,M00201,2024,广东,物理,589,12043,20
S002,M00201,2025,广东,物理,589,12338,20
S002,M00201,2023,江苏,物理,589,11999,22
S002,M00201,2024,江苏,物理,590,11223,13
S002,M00201,2025,江苏,物理,589,12429,22
S002,M00201,2023,四川,物理,594,8680,11
S002,M00201,2024,四川,物理,594,8689,24
S002,M00201,2025,四川,物理,594,8789,6
S002,M00201,2023,湖南,物理,588,13388,3
S002,M00201,2024,湖南,物理,590,11685,12
S002,M00201,2025,湖南,物理,589,12552,28
S002,M00201,2023,河南,物理,589,12572,11
S002,M00201,2024,河南,物理,589,12714,2
S002,M00201,2025,河南,物理,590,11320,14
S002,M00202,2023,北京,物理,598,6573,29
S002,M00202,2024,北京,物理,598,6383,9
S002,M00202,2025,北京,物理,599,6046,3
S002,M00202,2023,广东,物理,590,11346,22
S002,M00202,2024,广东,物理,590,11677,19
S002,M00202,2025,广东,物理,589,12024,29
S002,M00202,2023,江苏,物理,595,8013,27
S002,M00202,2024,江苏,物理,593,8998,20
S002,M00202,2025,江苏,物理,594,8862,27
S002,M00202,2023,四川,物理,590,11252,22
S002,M00202,2024,四川,物理,589,12462,6
S002,M00202,2025,四川,物理,590,11873,13
S002,M00202,2023,湖南,物理,595,7812,19
S002,M00202,2024,湖南,物理,594,8852,8
S002,M00202,2025,湖南,物理,595,8224,18
S002,M00202,2023,河南,物理,590,11883,30
S002,M00202,2024,河南,物理,590,11461,7
S002,M00202,2025,河南,物理,591,10953,7
S002,M00203,2023,北京,物理,599,6171,9
S002,M00203,2024,北京,物理,598,6280,13
S002,M00203,2025,北京,物理,599,6218,28
S002,M00203,2023,广东,物理,593,9474,10
S002,M00203,2024,广东,物理,593,9602,10
S002,M00203,2025,广东,物理,592,10233,21
S002,M00203,2023,江苏,物理,595,8111,20
S002,M00203,2024,江苏,物理,594,8525,5
S002,M00203,2025,江苏,物理,595,7925,16
S002,M00203,2023,四川,物理,592,10304,26
S002,M00203,2024,四川,物理,591,10756,20
S002,M00203,2025,四川,物理,591,10494,5
S002,M00203,2023,湖南,物理,595,8015,29
S002,M00203,2024,湖南,物理,594,8465,25
S002,M00203,2025,湖南,物理,594,8872,28
S002,M00203,2023,河南,物理,589,12079,29
S002,M00203,2024,河南,物理,591,11102,2
S002,M00203,2025,河南,物理,590,11568,21
S002,M00204,2023,北京,物理,598,6463,10
S002,M00204,2024,北京,物理,598,6540,23
S002,M00204,2025,北京,物理,597,6753,13
S002,M00204,2023,广东,物理,594,8888,21
S002,M00204,2024,广东,物理,594,8928,7
S002,M00204,2025,广东,物理,593,8981,18
S002,M00204,2023,江苏,物理,589,11977,23
S002,M00204,2024,江苏,物理,589,12251,5
S002,M00204,2025,江苏,物理,589,12472,10
S002,M00204,2023,四川,物理,589,12513,26
S002,M00204,2024,四川,物理,590,11390,11
S002,M00204,2025,四川,物理,590,11482,25
S002,M00204,2023,湖南,物理,592,9722,26
S002,M00204,2024,湖南,物理,592,9700,23
S002,M00204,2025,湖南,物理,594,8783,3
S002,M00204,2023,河南,物理,590,11492,27
S002,M00204,2024,河南,物理,589,12469,15
S002,M00204,2025,河南,物理,590,11328,14
S002,M00205,2023,北京,历史,602,5027,30
S002,M00205,2024,北京,历史,602,4970,17
S002,M00205,2025,北京,历史,600,5476,4
S002,M00205,2023,广东,历史,595,8069,19
S002,M00205,2024,广东,历史,594,8414,7
S002,M00205,2025,广东,历史,594,8468,30
S002,M00205,2023,江苏,历史,592,9835,21
S002,M00205,2024,江苏,历史,593,9584,23
S002,M00205,2025,江苏,历史,591,10413,21
S002,M00205,2023,四川,历史,593,9466,2
S002,M00205,2024,四川,历史,593,9223,28
S002,M00205,2025,四川,历史,592,9755,29
S002,M00205,2023,湖南,历史,593,9060,17
S002,M00205,2024,湖南,历史,594,8724,27
S002,M00205,2025,湖南,历史,595,8067,21
S002,M00205,2023,河南,历史,595,7895,20
S002,M00205,2024,河南,历史,596,7763,10
S002,M00205,2025,河南,历史,596,7274,15
S002,M00206,2023,北京,物理,597,7047,10
S002,M00206,2024,北京,物理,598,6478,4
S002,M00206,2025,北京,物理,597,6791,14
S002,M00206,2023,北京,历史,597,6926,26
S002,M00206,2024,北京,历史,597,6842,21
S002,M00206,2025,北京,历史,597,6983,26
S002,M00206,2023,广东,物理,590,11150,8
S002,M00206,2024,广东,物理,591,10664,22
S002,M00206,2025,广东,物理,589,12325,5
S002,M00206,2023,广东,历史,590,11582,4
S002,M00206,2024,广东,历史,590,11412,8
S002,M00206,2025,广东,历史,590,11635,12
S002,M00206,2023,江苏,物理,592,9950,24
S002,M00206,2024,江苏,物理,592,10000,19
S002,M00206,2025,江苏,物理,593,9083,21
S002,M00206,2023,江苏,历史,591,10452,15
S002,M00206,2024,江苏,历史,592,9715,10
S002,M00206,2025,江苏,历史,592,9651,30
S002,M00206,2023,四川,物理,592,10130,10
S002,M00206,2024,四川,物理,593,9644,6
S002,M00206,2025,四川,物理,593,9565,8
S002,M00206,2023,四川,历史,591,10502,7
S002,M00206,2024,四川,历史,592,10009,16
S002,M00206,2025,四川,历史,592,10076,12
S002,M00206,2023,湖南,物理,589,12000,17
S002,M00206,2024,湖南,物理,589,12243,28
S002,M00206,2025,湖南,物理,590,11445,4
S002,M00206,2023,湖南,历史,589,12265,12
S002,M00206,2024,湖南,历史,590,11512,9
S002,M00206,2025,湖南,历史,590,11463,23
S002,M00206,2023,河南,物理,587,13895,3
S002,M00206,2024,河南,物理,588,13400,2
S002,M00206,2025,河南,物理,588,13756,6
S002,M00206,2023,河南,历史,588,13457,10
S002,M00206,2024,河南,历史,588,13099,2
S002,M00206,2025,河南,历史,588,13404,13
S003,M00301,2023,北京,历史,604,4118,6
S003,M00301,2024,北京,历史,604,4188,6
S003,M00301,2025,北京,历史,604,4322,19
S003,M00301,2023,广东,历史,595,7953,25
S003,M00301,2024,广东,历史,594,8415,3
S003,M00301,2025,广东,历史,594,8387,16
S003,M00301,2023,江苏,历史,598,6632,29
S003,M00301,2024,江苏,历史,598,6671,22
S003,M00301,2025,江苏,历史,599,6183,5
S003,M00301,2023,四川,历史,596,7328,4
S003,M00301,2024,四川,历史,597,6988,12
S003,M00301,2025,四川,历史,597,6794,18
S003,M00301,2023,湖南,历史,595,7977,28
S003,M00301,2024,湖南,历史,594,8765,15
S003,M00301,2025,湖南,历史,596,7769,19
S003,M00301,2023,河南,历史,596,7493,28
S003,M00301,2024,河南,历史,597,6892,13
S003,M00301,2025,河南,历史,596,7254,20
S003,M00302,2023,北京,物理,598,6394,24
S003,M00302,2024,北京,物理,596,7288,29
S003,M00302,2025,北京,物理,598,6659,5
S003,M00302,2023,北京,历史,597,7134,18
S003,M00302,2024,北京,历史,597,6796,8
S003,M00302,2025,北京,历史,597,7081,6
S003,M00302,2023,广东,物理,593,9491,7
S003,M00302,2024,广东,物理,593,9144,28
S003,M00302,2025,广东,物理,593,9211,17
S003,M00302,2023,广东,历史,592,9918,11
S003,M00302,2024,广东,历史,592,10100,16
S003,M00302,2025,广东,历史,593,9206,30
S003,M00302,2023,江苏,物理,591,10855,4
S003,M00302,2024,江苏,物理,591,10827,9
S003,M00302,2025,江苏,物理,590,11646,22
S003,M00302,2023,江苏,历史,591,10370,21
S003,M00302,2024,江苏,历史,590,11481,9
S003,M00302,2025,江苏,历史,592,10358,5
S003,M00302,2023,四川,物理,593,9466,19
S003,M00302,2024,四川,物理,594,8796,3
S003,M00302,2025,四川,物理,594,8951,20
S003,M00302,2023,四川,历史,592,9857,16
S003,M00302,2024,四川,历史,592,9670,27
S003,M00302,2025,四川,历史,594,8840,12
S003,M00302,2023,湖南,物理,592,10188,4
S003,M00302,2024,湖南,物理,592,10130,24
S003,M00302,2025,湖南,物理,591,10441,23
S003,M00302,2023,湖南,历史,590,11248,30
S003,M00302,2024,湖南,历史,591,10557,27
S003,M00302,2025,湖南,历史,590,11336,2
S003,M00302,2023,河南,物理,594,8426,14
S003,M00302,2024,河南,物理,594,8805,19
S003,M00302,2025,河南,物理,593,9262,14
S003,M00302,2023,河南,历史,594,8870,18
S003,M00302,2024,河南,历史,593,9623,19
S003,M00302,2025,河南,历史,594,8481,9
S003,M00303,2023,北京,物理,597,6798,4
S003,M00303,2024,北京,物理,599,6229,15
S003,M00303,2025,北京,物理,598,6456,15
S003,M00303,2023,北京,历史,599,5947,28
S003,M00303,2024,北京,历史,598,6368,8
S003,M00303,2025,北京,历史,598,6479,5
S003,M00303,2023,广东,物理,592,9664,14
S003,M00303,2024,广东,物理,593,9062,4
S003,M00303,2025,广东,物理,593,9232,17
S003,M00303,2023,广东,历史,591,10382,3
S003,M00303,2024,广东,历史,593,9485,19
S003,M00303,2025,广东,历史,593,9163,26
S003,M00303,2023,江苏,物理,592,10257,20
S003,M00303,2024,江苏,物理,591,10703,19
S003,M00303,2025,江苏,物理,591,10737,14
S003,M00303,2023,江苏,历史,592,10008,2
S003,M00303,2024,江苏,历史,591,10555,30
S003,M00303,2025,江苏,历史,592,10357,16
S003,M00303,2023,四川,物理,591,10629,15
S003,M00303,2024,四川,物理,591,10853,14
S003,M00303,2025,四川,物理,591,10718,28
S003,M00303,2023,四川,历史,591,10777,20
S003,M00303,2024,四川,历史,590,11173,14
S003,M00303,2025,四川,历史,592,10241,28
S003,M00303,2023,湖南,物理,590,11959,21
S003,M00303,2024,湖南,物理,591,11015,7
S003,M00303,2025,湖南,物理,591,10654,18
S003,M00303,2023,湖南,历史,589,12097,4
S003,M00303,2024,湖南,历史,591,10893,19
S003,M00303,2025,湖南,历史,589,12116,14
S003,M00303,2023,河南,物理,589,12509,10
S003,M00303,2024,河南,物理,588,13257,28
S003,M00303,2025,河南,物理,588,13122,5
S003,M00303,2023,河南,历史,589,12542,13
S003,M00303,2024,河南,历史,589,12184,26
S003,M00303,2025,河南,历史,590,11925,22
S003,M00304,2023,北京,物理,597,6940,26
S003,M00304,2024,北京,物理,598,6387,26
S003,M00304,2025,北京,物理,599,6248,28
S003,M00304,2023,广东,物理,592,10363,12
S003,M00304,2024,广东,物理,593,9333,11
S003,M00304,2025,广东,物理,591,10546,30
S003,M00304,2023,江苏,物理,588,12960,13
S003,M00304,2024,江苏,物理,591,11054,28
S003,M00304,2025,江苏,物理,590,11636,22
S003,M00304,2023,四川,物理,593,9276,20
S003,M00304,2024,四川,物理,593,9005,2
S003,M00304,2025,四川,物理,593,9186,21
S003,M00304,2023,湖南,物理,590,11164,15
S003,M00304,2024,湖南,物理,590,11367,24
S003,M00304,2025,湖南,物理,592,10159,24
S003,M00304,2023,河南,物理,591,10838,29
S003,M00304,2024,河南,物理,590,11789,9
S003,M00304,2025,河南,物理,589,12072,14
S003,M00305,2023,北京,物理,612,2448,24
S003,M00305,2024,北京,物理,612,2397,25
S003,M00305,2025,北京,物理,611,2567,10
S003,M00305,2023,北京,历史,612,2431,6
S003,M00305,2024,北京,历史,610,2687,6
S003,M00305,2025,北京,历史,610,2727,18
S003,M00305,2023,广东,物理,604,4340,10
S003,M00305,2024,广东,物理,604,4312,30
S003,M00305,2025,广东,物理,602,4780,24
S003,M00305,2023,广东,历史,603,4543,28
S003,M00305,2024,广东,历史,603,4470,18
S003,M00305,2025,广东,历史,604,4254,17
S003,M00305,2023,江苏,物理,602,4761,27
S003,M00305,2024,江苏,物理,601,5171,18
S003,M00305,2025,江苏,物理,601,5382,11
S003,M00305,2023,江苏,历史,603,4696,3
S003,M00305,2024,江苏,历史,602,4860,2
S003,M00305,2025,江苏,历史,601,5360,14
S003,M00305,2023,四川,物理,604,4248,30
S003,M00305,2024,四川,物理,605,3793,26
S003,M00305,2025,四川,物理,606,3768,4
S003,M00305,2023,四川,历史,606,3759,28
S003,M00305,2024,四川,历史,604,4330,29
S003,M00305,2025,四川,历史,605,3834,14
S003,M00305,2023,湖南,物理,607,3332,11
S003,M00305,2024,湖南,物理,608,3275,21
S003,M00305,2025,湖南,物理,605,3787,24
S003,M00305,2023,湖南,历史,606,3563,6
S003,M00305,2024,湖南,历史,607,3380,10
S003,M00305,2025,湖南,历史,606,3727,12
S003,M00305,2023,河南,物理,605,3989,17
S003,M00305,2024,河南,物理,604,4129,16
S003,M00305,2025,河南,物理,604,4358,29
S003,M00305,2023,河南,历史,603,4407,13
S003,M00305,2024,河南,历史,604,4210,20
S003,M00305,2025,河南,历史,604,4245,28
S003,M00306,2023,北京,物理,606,3662,28
S003,M00306,2024,北京,物理,606,3774,3
S003,M00306,2025,北京,物理,606,3589,7
S003,M00306,2023,北京,历史,606,3740,29
S003,M00306,2024,北京,历史,606,3552,15
S003,M00306,2025,北京,历史,606,3649,29
S003,M00306,2023,广东,物理,601,5090,23
S003,M00306,2024,广东,物理,603,4651,3
S003,M00306,2025,广东,物理,602,5016,27
S003,M00306,2023,广东,历史,603,4529,3
S003,M00306,2024,广东,历史,601,5053,20
S003,M00306,2025,广东,历史,601,5222,10
S003,M00306,2023,江苏,物理,599,6199,26
S003,M00306,2024,江苏,物理,600,5597,5
S003,M00306,2025,江苏,物理,600,5535,9
S003,M00306,2023,江苏,历史,599,6093,10
S003,M00306,2024,江苏,历史,599,6187,22
S003,M00306,2025,江苏,历史,598,6335,20
S003,M00306,2023,四川,物理,600,5518,25
S003,M00306,2024,四川,物理,602,4965,26
S003,M00306,2025,四川,物理,601,5123,19
S003,M00306,2023,四川,历史,601,5084,19
S003,M00306,2024,四川,历史,600,5479,6
S003,M00306,2025,四川,历史,601,5248,13
S003,M00306,2023,湖南,物理,598,6379,12
S003,M00306,2024,湖南,物理,596,7404,3
S003,M00306,2025,湖南,物理,597,6860,6
S003,M00306,2023,湖南,历史,598,6594,13
S003,M00306,2024,湖南,历史,597,6769,2
S003,M00306,2025,湖南,历史,597,6793,7
S003,M00306,2023,河南,物理,597,7047,5
S003,M00306,2024,河南,物理,597,6969,4
S003,M00306,2025,河南,物理,597,7068,21
S003,M00306,2023,河南,历史,598,6636,18
S003,M00306,2024,河南,历史,597,6779,14
S003,M00306,2025,河南,历史,598,6530,3
S003,M00307,2023,北京,历史,597,6757,18
S003,M00307,2024,北京,历史,598,6659,3
S003,M00307,2025,北京,历史,597,7072,11
S003,M00307,2023,广东,历史,592,10205,8
S003,M00307,2024,广东,历史,592,10276,27
S003,M00307,2025,广东,历史,592,10293,25
S003,M00307,2023,江苏,历史,590,11429,7
S003,M00307,2024,江苏,历史,589,12219,10
S003,M00307,2025,江苏,历史,590,11759,19
S003,M00307,2023,四川,历史,593,9450,26
S003,M00307,2024,四川,历史,593,9452,18
S003,M00307,2025,四川,历史,591,10455,4
S003,M00307,2023,湖南,历史,593,9185,10
S003,M00307,2024,湖南,历史,592,9882,2
S003,M00307,2025,湖南,历史,593,9623,10
S003,M00307,2023,河南,历史,591,10387,4
S003,M00307,2024,河南,历史,590,11497,11
S003,M00307,2025,河南,历史,591,10525,15
S004,M00401,2023,北京,物理,608,3246,6
S004,M00401,2024,北京,物理,608,3131,8
S004,M00401,2025,北京,物理,608,3198,24
S004,M00401,2023,广东,物理,601,5420,27
S004,M00401,2024,广东,物理,599,5972,20
S004,M00401,2025,广东,物理,600,5717,4
S004,M00401,2023,江苏,物理,601,5232,14
S004,M00401,2024,江苏,物理,599,5986,4
S004,M00401,2025,江苏,物理,599,5926,10
S004,M00401,2023,四川,物理,601,5258,17
S004,M00401,2024,四川,物理,601,5280,10
S004,M00401,2025,四川,物理,602,4736,13
S004,M00401,2023,湖南,物理,602,4954,22
S004,M00401,2024,湖南,物理,603,4487,28
S004,M00401,2025,湖南,物理,602,5007,14
S004,M00401,2023,河南,物理,603,4486,23
S004,M00401,2024,河南,物理,602,4858,21
S004,M00401,2025,河南,物理,602,4956,2
S004,M00402,2023,北京,物理,598,6579,6
S004,M00402,2024,北京,物理,597,7067,25
S004,M00402,2025,北京,物理,598,6566,29
S004,M00402,2023,广东,物理,589,12803,11
S004,M00402,2024,广东,物理,590,11345,27
S004,M00402,2025,广东,物理,590,11621,24
S004,M00402,2023,江苏,物理,592,9997,25
S004,M00402,2024,江苏,物理,592,10032,25
S004,M00402,2025,江苏,物理,592,10164,9
S004,M00402,2023,四川,物理,589,12790,7
S004,M00402,2024,四川,物理,589,12542,13
S004,M00402,2025,四川,物理,589,12651,11
S004,M00402,2023,湖南,物理,592,10103,10
S004,M00402,2024,湖南,物理,592,9858,12
S004,M00402,2025,湖南,物理,592,9870,20
S004,M00402,2023,河南,物理,591,10551,17
S004,M00402,2024,河南,物理,592,10021,28
S004,M00402,2025,河南,物理,591,10805,21
S004,M00403,2023,北京,历史,599,6094,9
S004,M00403,2024,北京,历史,598,6428,30
S004,M00403,2025,北京,历史,597,6924,18
S004,M00403,2023,广东,历史,588,13513,14
S004,M00403,2024,广东,历史,589,12813,27
S004,M00403,2025,广东,历史,590,11618,30
S004,M00403,2023,江苏,历史,592,10178,2
S004,M00403,2024,江苏,历史,592,9760,26
S004,M00403,2025,江苏,历史,592,10135,9
S004,M00403,2023,四川,历史,594,8694,13
S004,M00403,2024,四川,历史,595,8165,14
S004,M00403,2025,四川,历史,594,8689,8
S004,M00403,2023,湖南,历史,593,9596,4
S004,M00403,2024,湖南,历史,593,9216,15
S004,M00403,2025,湖南,历史,594,8495,5
S004,M00403,2023,河南,历史,593,9319,4
S004,M00403,2024,河南,历史,594,8950,26
S004,M00403,2025,河南,历史,593,9595,30
S004,M00404,2023,北京,物理,598,6345,19
S004,M00404,2024,北京,物理,598,6676,4
S004,M00404,2025,北京,物理,597,6928,10
S004,M00404,2023,北京,历史,599,6162,19
S004,M00404,2024,北京,历史,598,6648,27
S004,M00404,2025,北京,历史,599,6117,7
S004,M00404,2023,广东,物理,592,10218,28
S004,M00404,2024,广东,物理,592,9831,3
S004,M00404,2025,广东,物理,592,10327,21
S004,M00404,2023,广东,历史,592,10312,22
S004,M00404,2024,广东,历史,591,10538,19
S004,M00404,2025,广东,历史,591,10729,3
S004,M00404,2023,江苏,物理,589,12125,8
S004,M00404,2024,江苏,物理,591,10844,7
S004,M00404,2025,江苏,物理,590,11917,22
S004,M00404,2023,江苏,历史,591,10545,11
S004,M00404,2024,江苏,历史,591,10783,19
S004,M00404,2025,江苏,历史,590,11786,11
S004,M00404,2023,四川,物理,592,10214,6
S004,M00404,2024,四川,物理,592,10208,17
S004,M00404,2025,四川,物理,591,10611,29
